,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
11,490000,820000,205000,915000,190000,190000,155000,207000,849000,170000,405000,366000,350000,410000,1135000,532000,250000,436000,863000,410000,755000,658000,485000,247000,145000,388000,425000,1105000,227000,270000,125000,210000,285000,285000,1032000,810000,1105000,389000,155000,581000,663000,103000,234000,205000,577000,512000,1050000,460000,667000,607000,400000,149000,325000,486000,522000,583000,522000,758000,200000,319000,519000,446000,112000,787000,429000,852000,315000,275000,275000,599000,976000,273000,493000,455000,295000,1002000,429000,495000,598000,1100000,1043000,389000
12,514000,840000,198000,885000,190000,175000,173000,205000,1300000,190000,429000,420000,350000,457000,1275000,525000,255000,400000,843000,418000,668000,680000,459000,239000,192000,410000,429000,1175000,229000,270000,169000,219000,270000,270000,1065000,942000,1233000,351000,143000,615000,656000,105000,194000,198000,630000,485000,1005000,475000,465000,589000,403000,170000,338000,534000,544000,618000,544000,442000,225000,330000,499000,431000,112000,721000,479000,810000,277000,308000,308000,607000,976000,277000,470000,467000,387000,1075000,485000,540000,505000,1100000,598000,408000
13,500000,888000,165000,942000,162000,150000,146000,193000,1650000,110000,477000,390000,390000,489000,1300000,513000,245000,390000,810000,442000,370000,675000,480000,200000,188000,442000,422000,929000,200000,265000,138000,185000,270000,268000,1141000,879000,1100000,345000,165000,600000,649000,105000,234000,165000,630000,518000,1690000,525000,473000,541000,407000,150000,375000,542000,540000,608000,540000,820000,228000,325000,499000,487000,200000,1072000,469000,805000,273000,225000,225000,627000,1025000,258000,521000,483000,327000,1010000,415000,521000,445000,1080000,360000,389000
14,485000,850000,210000,950000,223000,115000,138000,170000,1275000,212000,490000,419000,407000,484000,1270000,563000,320000,424000,804000,470000,370000,740000,484000,180000,193000,470000,393000,1050000,210000,352000,168000,185000,375000,386000,1085000,949000,1080000,417000,145000,600000,649000,200000,150000,210000,650000,525000,1490000,525000,470000,575000,421000,130000,350000,546000,532000,613000,532000,774000,225000,358000,510000,504000,150000,1853000,442000,789000,344000,253000,253000,631000,1085000,311000,532000,505000,185000,1036000,445000,513000,480000,994000,430000,343000
15,450000,903000,165000,950000,200000,138000,146000,185000,1370000,200000,497000,375000,390000,487000,1275000,595000,290000,417000,850000,455000,419000,745000,516000,197000,164000,460000,409000,1013000,200000,398000,205000,193000,386000,413000,1085000,1149000,1050000,419000,174000,623000,650000,225000,268000,165000,655000,560000,1475000,635000,533000,600000,380000,135000,365000,495000,450000,623000,450000,839000,169000,375000,525000,531000,150000,1948000,444000,850000,390000,256000,256000,620000,1297000,340000,540000,530000,280000,850000,440000,452000,693000,935000,751000,299000
16,486000,898000,192000,998000,200000,169000,194000,230000,1332000,200000,509000,387000,390000,479000,1238000,617000,310000,429000,875000,458000,430000,774000,535000,197000,170000,509000,420000,1088000,210000,425000,225000,228000,368000,400000,1115000,949000,1104000,483000,159000,650000,650000,238000,290000,192000,666000,552000,1249000,569000,584000,588000,365000,194000,362000,445000,458000,650000,458000,809000,225000,400000,545000,535000,136000,1948000,416000,886000,400000,261000,261000,631000,1126000,360000,527000,577000,278000,840000,480000,460000,645000,955000,623000,312000
17,489000,880000,187000,990000,170000,195000,210000,219000,1350000,185000,507000,393000,393000,538000,1250000,620000,260000,410000,950000,450000,467000,774000,560000,200000,135000,445000,443000,1088000,215000,274000,222000,219000,296000,332000,1212000,930000,1148000,430000,190000,606000,647000,244000,254000,187000,678000,595000,1330000,663000,653000,599000,330000,189000,370000,440000,495000,606000,495000,865000,157000,415000,561000,578000,136000,1800000,511000,930000,375000,257000,257000,628000,1249000,380000,560000,585000,472000,830000,515000,492000,705000,1018000,751000,458000
18,528000,878000,187000,1060000,171000,173000,194000,210000,1350000,206000,475000,450000,405000,520000,1163000,615000,231000,377000,900000,449000,373000,818000,538000,145000,165000,440000,430000,1238000,240000,305000,229000,210000,296000,307000,1257000,930000,1225000,497000,190000,560000,620000,188000,190000,187000,631000,645000,1330000,676000,651000,561000,290000,185000,345000,457000,547000,585000,547000,845000,220000,410000,550000,535000,136000,1305000,472000,893000,350000,261000,261000,644000,1249000,349000,530000,588000,455000,873000,549000,468000,607000,1176000,433000,495000
19,499000,869000,200000,1085000,136000,158000,195000,215000,1163000,171000,448000,464000,400000,540000,1100000,610000,258000,370000,875000,440000,363000,760000,506000,145000,198000,435000,424000,1318000,241000,315000,241000,228000,312000,315000,1150000,975000,1291000,420000,201000,593000,605000,140000,100000,200000,644000,625000,1100000,668000,583000,550000,315000,179000,338000,460000,711000,602000,711000,865000,241000,389000,538000,508000,183000,1515000,520000,865000,335000,276000,276000,650000,1275000,315000,621000,602000,420000,880000,518000,460000,575000,1350000,950000,471000
20,510000,873000,198000,1420000,201000,170000,200000,150000,983000,195000,419000,453000,375000,530000,1121000,562000,240000,336000,846000,450000,389000,755000,500000,136000,239000,440000,415000,1525000,246000,335000,236000,234000,333000,323000,1150000,828000,1250000,389000,210000,541000,520000,150000,100000,198000,593000,568000,1200000,520000,565000,565000,340000,200000,326000,460000,645000,547000,645000,655000,325000,375000,520000,503000,225000,1750000,500000,846000,335000,294000,294000,642000,1175000,314000,504000,574000,350000,900000,423000,468000,593000,1273000,515000,420000
